iter	Passed	Remaining
407	4790	6950
408	4792	6925
409	4803	6912
410	4805	6887
411	4808	6861
412	4812	6840
413	4815	6815
414	4822	6798
415	4828	6777
416	4848	6778
417	4850	6754
418	4855	6732
419	4857	6708
420	4860	6684
421	4862	6660
422	4865	6636
423	4872	6619
424	4874	6595
425	4876	6571
426	4879	6547
427	4881	6524
428	4894	6514
429	4896	6491
430	4901	6471
431	4904	6448
432	4906	6425
433	4909	6402
434	4911	6379
435	4916	6359
436	4919	6337
437	4921	6314
438	4925	6294
439	4955	6306
440	4962	6290
441	4966	6270
442	4969	6248
443	4973	6227
444	4976	6206
445	4979	6184
446	4981	6162
447	4984	6141
448	4986	6119
449	4988	6097
450	4991	6075
451	5005	6068
452	5016	6057
453	5018	6035
454	5021	6014
455	5023	5993
456	5031	5977
457	5033	5956
458	5036	5935
459	5040	5917
460	5042	5896
461	5048	5878
462	5050	5857
463	5131	5927
464	5134	5907
465	5137	5886
466	5142	5868
467	5148	5852
468	5150	5831
469	5154	5812
470	5158	5793
471	5160	5773
472	5165	5755
473	5168	5735
474	5175	5720
475	5180	5702
476	5182	5682
477	5186	5663
478	5188	5643
479	5193	5626
480	5196	5607
481	5201	5589
482	5203	5569
483	5205	5550
484	5208	5530
485	5210	5510
486	5224	5502
487	5226	5483
488	5228	5463
489	5231	5444
490	5237	5429
491	5240	5410
492	5242	5391
493	5245	5373
494	5251	5357
495	5254	5339
496	5256	5320
497	5291	5334
498	5295	5316
499	5297	5297
500	5300	5279
501	5302	5260
502	5309	5246
503	5312	5227
504	5314	5209
505	5316	5190
506	5320	5173
507	5324	5156
508	5326	5138
509	5330	5121
510	5334	5104
511	5339	5089
512	5342	5071
513	5344	5053
514	5356	5044
515	5360	5027
516	5367	5014
517	5370	4997
518	5372	4979
519	5374	4961
520	5398	4963
521	5401	4945
522	5403	4928
523	5405	4910
524	5410	4895
525	5412	4877
526	5415	4860
527	5417	4843
528	5420	4825
529	5426	4812
530	5428	4795
531	5431	4777
532	5440	4766
533	5442	4749
534	5445	4732
535	5447	4715
536	5450	4698
537	5457	4686
538	5459	4669
539	5463	4653
540	5466	4637
541	5469	4622
542	5472	4605
543	5474	4589
544	5477	4572
545	5479	4556
546	5486	4543
547	5488	4527
548	5491	4511
549	5499	4499
550	5501	4483
551	5503	4466
552	5508	4452
553	5511	4437
554	5514	4421
555	5516	4405
556	5553	4416
557	5570	4412
558	5577	4399
559	5581	4385
560	5583	4369
561	5589	4356
562	5591	4340
563	5594	4324
564	5596	4308
565	5600	4294
566	5604	4279
567	5669	4311
568	5673	4297
569	5675	4281
570	5678	4266
571	5682	4251
572	5684	4236
573	5690	4223
574	5692	4207
575	5695	4192
576	5697	4176
577	5699	4161
578	5724	4162
579	5743	4158
580	5752	4148
581	5755	4133
582	5758	4119
583	5766	4107
